Gender,Marital_Status,Income_Category,Customer_Age,Credit_Limit,Total_Revolving_Bal
F,Married,Less than $40K,41,3302.0,1980
F,Single,$40K - $60K,55,2687.0,1689
F,Married,Less than $40K,53,1438.3,0
F,Married,Less than $40K,46,1801.0,316
M,Single,$60K - $80K,53,4573.0,2076
F,Married,Less than $40K,48,2860.0,2517
F,Married,$40K - $60K,46,13387.0,0
F,Single,Less than $40K,46,2283.0,1020
F,Married,Less than $40K,47,2033.0,228
F,Married,$40K - $60K,49,2506.0,1549
F,Single,Less than $40K,47,1438.3,735
M,Unknown,$80K - $120K,42,2447.0,2195
F,Single,Less than $40K,54,1438.3,814
M,Married,$80K - $120K,41,10873.0,1514
F,Married,$40K - $60K,39,7596.0,2199
F,Married,Less than $40K,54,2921.0,2412
F,Single,$40K - $60K,42,10136.0,0
F,Married,Less than $40K,52,2187.0,1094
F,Single,Less than $40K,60,3302.0,2517
M,Divorced,$80K - $120K,40,30997.0,2330
F,Single,Less than $40K,48,2578.0,2424
F,Married,Less than $40K,51,1438.3,0
M,Single,$80K - $120K,48,3034.0,468
F,Single,Less than $40K,46,1438.3,0
F,Single,Unknown,50,2611.0,1824
F,Married,$40K - $60K,54,2222.0,1398
F,Divorced,Less than $40K,37,3328.0,2517
F,Married,Less than $40K,43,2440.0,1002
F,Single,Unknown,54,9723.0,1307
F,Single,Less than $40K,60,2346.0,2150
M,Married,$60K - $80K,51,26142.0,0
F,Single,Unknown,39,12405.0,0
M,Single,$80K - $120K,47,17655.0,0
F,Married,Less than $40K,51,4941.0,786
F,Divorced,Less than $40K,30,1644.0,0
F,Single,Unknown,34,3095.0,2010
F,Unknown,Less than $40K,60,3828.0,0
F,Single,Less than $40K,49,2182.0,1722
M,Single,$60K - $80K,51,13906.0,1430
M,Married,$80K - $120K,50,10588.0,994
F,Single,Less than $40K,32,2973.0,2446
F,Married,Unknown,50,4045.0,0
M,Married,$80K - $120K,40,2165.0,1465
F,Married,Less than $40K,34,5845.0,0
M,Single,$120K +,50,15341.0,1016
M,Married,$60K - $80K,45,3035.0,1498
F,Single,Unknown,45,1986.0,1042
F,Married,Less than $40K,45,4602.0,1517
F,Single,Less than $40K,43,2689.0,2384
M,Single,$40K - $60K,65,9383.0,829
F,Single,Less than $40K,47,1438.3,780
F,Single,Less than $40K,42,1443.0,0
F,Single,Less than $40K,51,2847.0,2082
M,Single,$80K - $120K,44,15638.0,1729
M,Married,$120K +,43,10700.0,1346
F,Single,Less than $40K,44,1438.3,0
F,Married,$40K - $60K,50,1694.0,479
F,Divorced,Unknown,53,7939.0,0
F,Single,Less than $40K,42,2555.0,1587
F,Single,Less than $40K,55,2850.0,2517
M,Single,$60K - $80K,59,8973.0,1300
F,Single,$40K - $60K,58,6960.0,1536
F,Married,Less than $40K,60,4167.0,0
F,Married,Unknown,49,5099.0,1178
F,Divorced,Unknown,42,2782.0,1782
F,Married,Less than $40K,44,1480.0,1017
M,Single,$80K - $120K,56,5070.0,0
M,Single,$80K - $120K,52,2757.0,1425
M,Married,$80K - $120K,54,5774.0,1519
M,Married,$60K - $80K,55,6054.0,1103
M,Single,$60K - $80K,57,19090.0,0
F,Married,Less than $40K,43,2069.0,839
F,Married,Less than $40K,47,2447.0,1973
F,Married,Less than $40K,56,3022.0,1627
F,Married,Less than $40K,44,4473.0,0
F,Unknown,Less than $40K,54,5267.0,0
M,Single,$80K - $120K,37,7199.0,1274
F,Married,Less than $40K,49,1438.3,0
F,Single,Less than $40K,51,3245.0,0
F,Single,$40K - $60K,47,3888.0,2517
F,Married,Unknown,45,14728.0,0
F,Single,$40K - $60K,38,1438.3,0
M,Single,$40K - $60K,48,11272.0,1744
F,Unknown,Less than $40K,49,2705.0,1681
M,Married,$80K - $120K,41,12270.0,0
F,Single,Less than $40K,54,3006.0,633
M,Single,$80K - $120K,39,7901.0,1184
M,Single,$80K - $120K,38,5983.0,1885
M,Single,$40K - $60K,64,7362.0,1907
M,Single,$80K - $120K,55,3046.0,2415
M,Married,$120K +,50,34516.0,1871
F,Married,Unknown,55,12972.0,1424
F,Single,Unknown,44,17785.0,1259
M,Single,$120K +,55,3029.0,1505
M,Divorced,Unknown,58,9097.0,1656
F,Single,Less than $40K,51,1438.3,0
M,Unknown,$80K - $120K,58,2375.0,1163
F,Unknown,Less than $40K,47,8109.0,0
F,Single,$40K - $60K,53,2618.0,2026
F,Married,Unknown,42,3549.0,0
M,Single,Less than $40K,45,2718.0,1474
F,Married,Less than $40K,60,2230.0,1796
F,Single,Less than $40K,42,3802.0,1300
F,Married,Less than $40K,55,2736.0,993
F,Married,Less than $40K,51,2258.0,1250
F,Married,Less than $40K,51,1438.3,0
M,Single,Less than $40K,65,2954.0,2517
M,Married,$80K - $120K,50,11882.0,1472
F,Married,Less than $40K,49,1438.3,0
F,Single,Less than $40K,38,1438.3,538
F,Single,Less than $40K,54,2778.0,743
F,Married,Less than $40K,54,2474.0,1539
F,Single,$40K - $60K,54,5632.0,1596
F,Single,Unknown,49,11025.0,0
F,Single,Less than $40K,43,2642.0,2377
M,Married,$80K - $120K,43,30357.0,1255
F,Divorced,Less than $40K,57,2201.0,1420
F,Married,Less than $40K,46,2002.0,0
F,Unknown,Unknown,43,8777.0,2517
F,Single,Less than $40K,53,2575.0,411
F,Single,$40K - $60K,43,5182.0,1607
M,Married,$60K - $80K,49,3783.0,0
M,Married,$120K +,51,34516.0,0
F,Unknown,Less than $40K,46,1515.0,0
F,Married,Less than $40K,56,2865.0,2022
F,Single,$40K - $60K,46,2711.0,0
F,Single,Less than $40K,54,2341.0,1550
M,Single,$80K - $120K,51,13287.0,1864
F,Married,Less than $40K,33,1438.3,0
M,Unknown,$40K - $60K,41,1639.0,0
M,Married,$60K - $80K,55,5668.0,2517
M,Single,$120K +,55,24542.0,2354
F,Married,Less than $40K,41,1959.0,1268
F,Single,Less than $40K,50,1838.0,0
F,Unknown,Less than $40K,36,3111.0,2517
F,Single,Less than $40K,39,3927.0,720
F,Married,Less than $40K,38,4345.0,838
F,Unknown,Less than $40K,46,3003.0,1454
F,Single,Less than $40K,40,1438.3,544
M,Single,$60K - $80K,58,2541.0,1053
F,Single,Less than $40K,43,2422.0,1014
F,Single,Less than $40K,56,1440.0,1211
M,Single,$80K - $120K,58,26108.0,1146
F,Single,Less than $40K,29,2516.0,2312
F,Divorced,$40K - $60K,48,3646.0,1047
F,Single,$40K - $60K,61,2214.0,2123
M,Single,$80K - $120K,51,11862.0,0
F,Married,Unknown,44,8729.0,1427
F,Single,Unknown,35,2423.0,0
F,Divorced,Less than $40K,48,4073.0,2517
M,Married,Less than $40K,26,9916.0,0
F,Married,Less than $40K,39,1438.3,949
M,Married,$80K - $120K,38,6452.0,1151
F,Single,Less than $40K,51,1952.0,1411
F,Married,Less than $40K,37,1438.3,647
F,Single,Unknown,53,4500.0,0
F,Single,Less than $40K,53,2252.0,1811
F,Single,Less than $40K,39,2370.0,2031
F,Single,$40K - $60K,56,2610.0,1988
F,Married,Less than $40K,52,2294.0,1787
F,Divorced,Unknown,51,5062.0,1659
F,Married,Less than $40K,43,2415.0,1452
F,Single,Less than $40K,51,2918.0,2049
F,Single,Less than $40K,53,2708.0,2271
F,Married,Less than $40K,54,3666.0,1739
F,Married,$40K - $60K,36,1438.3,0
F,Married,Less than $40K,53,1438.3,0
F,Divorced,Unknown,39,2809.0,0
M,Married,$80K - $120K,46,26303.0,2376
M,Single,$80K - $120K,56,15982.0,0
F,Married,Unknown,40,25060.0,0
F,Single,$40K - $60K,42,1545.0,751
F,Single,Less than $40K,43,1438.3,604
M,Unknown,$60K - $80K,43,4112.0,1128
F,Married,Less than $40K,47,1451.0,0
F,Single,Unknown,49,16424.0,1368
F,Married,Less than $40K,48,2340.0,1680
F,Married,Less than $40K,47,1926.0,879
M,Married,$40K - $60K,48,2954.0,931
F,Married,$40K - $60K,36,1848.0,0
F,Married,Unknown,47,1634.0,1463
F,Single,Less than $40K,49,4328.0,2058
F,Married,Less than $40K,51,2943.0,2131
F,Married,Less than $40K,54,2611.0,1573
F,Single,Less than $40K,43,2419.0,0
F,Married,$40K - $60K,49,5481.0,0
F,Single,Less than $40K,40,2129.0,1507
M,Married,$60K - $80K,40,9026.0,2312
M,Unknown,$40K - $60K,48,1761.0,1249
M,Married,Less than $40K,60,3316.0,0
F,Single,Unknown,50,1970.0,1477
F,Married,Less than $40K,46,1438.3,0
F,Married,Unknown,35,2278.0,1303
M,Single,$40K - $60K,65,13364.0,1318
M,Single,$60K - $80K,52,2801.0,2467
M,Single,Unknown,44,28292.0,0
F,Married,Less than $40K,35,2933.0,1011
M,Married,$80K - $120K,45,21630.0,0
F,Married,Less than $40K,56,3132.0,2230
F,Married,$40K - $60K,50,2961.0,2048
F,Married,Unknown,52,4173.0,1771
F,Single,Unknown,37,2458.0,642
M,Married,$60K - $80K,44,12229.0,997
F,Married,Less than $40K,35,2272.0,604
M,Married,$120K +,42,6953.0,1445
F,Married,$40K - $60K,48,1792.0,933
F,Single,Less than $40K,47,2765.0,901
F,Married,Less than $40K,43,2895.0,0
F,Single,Less than $40K,39,6904.0,1148
M,Married,$40K - $60K,39,2220.0,0
F,Married,Less than $40K,48,1495.0,0
F,Married,Less than $40K,42,2541.0,1398
F,Single,Unknown,34,7531.0,0
F,Unknown,Unknown,47,8644.0,1391
F,Single,$40K - $60K,43,1531.0,0
F,Married,Less than $40K,50,2884.0,2104
F,Single,Unknown,55,10241.0,1545
F,Single,$40K - $60K,50,4182.0,0
F,Single,Less than $40K,44,3101.0,0
F,Single,Less than $40K,54,4542.0,1355
F,Single,Less than $40K,40,3372.0,2517
M,Divorced,$60K - $80K,40,3099.0,0
F,Divorced,Unknown,41,2416.0,1305
F,Married,Less than $40K,52,5299.0,578
F,Single,Less than $40K,41,2138.0,1283
F,Married,Less than $40K,47,1850.0,896
F,Unknown,$40K - $60K,53,3585.0,0
F,Married,$40K - $60K,48,2690.0,1903
M,Unknown,$80K - $120K,62,29100.0,1228
M,Single,$40K - $60K,59,2699.0,2422
M,Married,$80K - $120K,41,8376.0,1165
M,Single,$40K - $60K,50,13509.0,2060
F,Married,Less than $40K,38,2396.0,2217
M,Married,$80K - $120K,50,18964.0,2207
F,Married,Less than $40K,40,2114.0,1618
F,Single,Less than $40K,39,1623.0,729
F,Divorced,Less than $40K,40,2579.0,1959
M,Single,$60K - $80K,41,5045.0,2080
F,Married,Less than $40K,35,2089.0,0
F,Married,$40K - $60K,48,2866.0,921
M,Married,$80K - $120K,49,9738.0,1835
M,Married,$60K - $80K,55,4370.0,0
M,Single,$80K - $120K,58,3355.0,1878
F,Single,$40K - $60K,43,5070.0,0
F,Married,Less than $40K,35,2572.0,1161
F,Single,Less than $40K,40,2016.0,978
F,Unknown,Less than $40K,55,3552.0,2517
F,Single,Less than $40K,43,2325.0,238
F,Unknown,Less than $40K,46,2533.0,2136
F,Single,$40K - $60K,48,3871.0,2055
F,Single,Less than $40K,32,3983.0,431
F,Married,Unknown,61,2035.0,1883
F,Single,Less than $40K,53,1773.0,1539
F,Divorced,Less than $40K,42,2029.0,1377
M,Single,$120K +,45,15490.0,0
F,Single,$40K - $60K,56,2941.0,1619
F,Unknown,Less than $40K,42,2314.0,1547
F,Single,Less than $40K,40,4212.0,2517
M,Married,$80K - $120K,57,6248.0,1493
M,Divorced,$40K - $60K,40,2430.0,974
M,Single,$80K - $120K,48,5543.0,1372
F,Married,$40K - $60K,42,2470.0,2013
F,Single,$40K - $60K,49,3255.0,603
F,Married,$40K - $60K,44,1691.0,1327
M,Unknown,$60K - $80K,43,18229.0,0
F,Single,Unknown,48,2827.0,1182
F,Divorced,Less than $40K,43,2351.0,2127
F,Married,Less than $40K,45,4202.0,2201
F,Married,Less than $40K,40,4712.0,0
M,Single,$80K - $120K,53,2611.0,787
F,Single,Less than $40K,38,3206.0,2459
F,Single,Less than $40K,39,5245.0,802
M,Married,$60K - $80K,39,2583.0,0
F,Unknown,Unknown,59,1438.3,755
M,Married,$120K +,40,7464.0,2517
F,Married,Unknown,54,4928.0,1805
F,Divorced,Less than $40K,46,9863.0,686
F,Unknown,Less than $40K,44,5024.0,2209
F,Single,Less than $40K,44,1438.3,0
F,Married,$40K - $60K,44,1452.0,0
F,Married,Unknown,50,3317.0,1041
F,Single,Less than $40K,39,1438.3,811
F,Single,Less than $40K,37,2448.0,1740
F,Single,Less than $40K,49,1546.0,0
F,Single,$40K - $60K,36,2013.0,0
F,Married,$40K - $60K,53,2293.0,1460
M,Single,$60K - $80K,52,1438.3,512
F,Married,Less than $40K,53,2819.0,0
M,Single,$60K - $80K,37,1702.0,1018
F,Married,$40K - $60K,52,1611.0,938
F,Married,$40K - $60K,49,1438.3,0
F,Single,Less than $40K,39,2863.0,1940
F,Married,$40K - $60K,39,3272.0,2323
F,Single,Less than $40K,42,2677.0,2517
F,Married,Less than $40K,40,2708.0,0
F,Single,Less than $40K,41,1738.0,0
F,Unknown,$40K - $60K,46,6145.0,1349
F,Married,Less than $40K,45,1640.0,999
F,Single,Unknown,38,2348.0,1028
F,Married,Less than $40K,53,1657.0,0
F,Married,Unknown,37,4554.0,780
M,Unknown,$120K +,52,5119.0,1972
F,Single,Unknown,39,10600.0,598
M,Unknown,$80K - $120K,49,20769.0,901
M,Married,$120K +,50,7116.0,981
F,Single,Unknown,51,2420.0,2379
F,Single,Less than $40K,54,2082.0,805
F,Unknown,Less than $40K,44,2718.0,1718
M,Single,$60K - $80K,50,5626.0,778
F,Divorced,$40K - $60K,49,2920.0,0
M,Married,$80K - $120K,59,6526.0,489
F,Single,$40K - $60K,37,1793.0,792
F,Single,Less than $40K,47,2798.0,1963
F,Divorced,Less than $40K,52,2427.0,1581
F,Married,$40K - $60K,55,3011.0,2138
F,Married,Unknown,41,2255.0,1769
F,Single,Unknown,40,6479.0,0
F,Divorced,Less than $40K,41,7492.0,1399
F,Married,Less than $40K,48,3632.0,1294
F,Single,Less than $40K,38,1744.0,0
F,Married,Unknown,52,5905.0,2248
F,Single,$40K - $60K,37,2573.0,1280
M,Married,$80K - $120K,45,9654.0,2035
M,Unknown,$40K - $60K,41,1605.0,0
F,Single,Less than $40K,49,10195.0,2389
M,Single,$60K - $80K,49,34516.0,1255
M,Single,$60K - $80K,43,10573.0,0
F,Single,Less than $40K,47,1789.0,1088
F,Single,Unknown,26,7595.0,1032
M,Single,$40K - $60K,51,3272.0,1896
F,Single,Less than $40K,33,2382.0,1565
M,Married,$80K - $120K,52,1981.0,1448
M,Single,$120K +,51,22294.0,0
F,Married,Less than $40K,49,2574.0,1555
F,Single,Less than $40K,30,2112.0,1109
F,Single,Less than $40K,65,5441.0,812
F,Married,$40K - $60K,43,4391.0,0
F,Single,Less than $40K,42,3044.0,1865
M,Married,$40K - $60K,57,2721.0,2159
F,Single,$40K - $60K,62,4467.0,0
M,Single,$80K - $120K,48,5033.0,0
F,Unknown,Less than $40K,61,8604.0,1075
F,Single,Less than $40K,43,2325.0,1662
F,Single,Less than $40K,60,2758.0,1429
M,Married,$80K - $120K,45,9705.0,850
F,Married,Less than $40K,41,2685.0,1647
F,Single,Less than $40K,60,2694.0,1923
F,Single,$40K - $60K,40,1554.0,412
F,Single,Less than $40K,63,1438.3,0
F,Single,$40K - $60K,42,1786.0,1316
M,Divorced,$60K - $80K,48,2648.0,0
M,Single,$40K - $60K,44,2477.0,2123
F,Married,Unknown,51,7336.0,1031
M,Single,$80K - $120K,42,34516.0,1396
F,Married,Less than $40K,46,2479.0,1759
F,Single,Unknown,42,9396.0,1870
F,Unknown,Less than $40K,44,2561.0,1491
F,Married,Less than $40K,43,4020.0,0
M,Married,$60K - $80K,43,25856.0,1281
F,Single,Less than $40K,50,7398.0,1581
M,Single,$80K - $120K,51,34516.0,1802
F,Single,Unknown,52,4058.0,1349
F,Married,Less than $40K,51,3042.0,0
F,Single,Less than $40K,60,2688.0,1617
F,Married,Unknown,38,3388.0,0
F,Single,$40K - $60K,43,4902.0,2517
F,Married,Unknown,45,3241.0,0
F,Married,$40K - $60K,48,5069.0,1843
M,Divorced,$80K - $120K,43,13625.0,0
M,Single,$60K - $80K,46,8766.0,0
M,Single,$40K - $60K,50,2800.0,1338
F,Single,Unknown,34,9005.0,1994
M,Married,$60K - $80K,56,2713.0,1990
F,Single,Less than $40K,53,1438.3,0
F,Single,$40K - $60K,47,1746.0,0
M,Single,$80K - $120K,49,2930.0,1901
F,Married,Less than $40K,47,2178.0,1455
F,Married,Unknown,35,1438.3,0
F,Married,Less than $40K,42,2021.0,1281
F,Single,Less than $40K,52,1842.0,625
M,Single,$120K +,49,18284.0,1144
M,Married,$80K - $120K,41,34516.0,1642
F,Single,Less than $40K,42,1696.0,0
M,Unknown,$60K - $80K,52,7215.0,0
F,Married,Less than $40K,52,1793.0,1284
F,Married,$40K - $60K,52,5731.0,0
F,Married,Less than $40K,44,2417.0,0
F,Single,$40K - $60K,48,1438.3,0
M,Single,$60K - $80K,51,21800.0,893
F,Married,Less than $40K,53,1547.0,0
F,Married,Less than $40K,46,1485.0,736
M,Married,$40K - $60K,44,2505.0,2282
F,Unknown,$40K - $60K,49,2631.0,1699
F,Unknown,Less than $40K,48,2700.0,2480
M,Single,$60K - $80K,48,3307.0,2234
F,Divorced,Unknown,38,29638.0,857
F,Single,Less than $40K,34,2066.0,347
F,Single,Less than $40K,46,1859.0,1379
M,Single,$60K - $80K,45,13362.0,0
F,Single,Less than $40K,33,2431.0,1846
F,Divorced,$40K - $60K,43,6034.0,1579
F,Married,Less than $40K,61,2194.0,1512
F,Single,$40K - $60K,47,1963.0,1524
F,Unknown,Unknown,41,1438.3,1125
F,Married,Less than $40K,45,2922.0,1212
M,Single,$40K - $60K,50,6943.0,600
M,Single,$120K +,57,34516.0,219
F,Single,Unknown,45,4345.0,2198
F,Divorced,Less than $40K,50,4248.0,316
F,Married,Less than $40K,51,1438.3,0
F,Divorced,Less than $40K,53,2383.0,1516
F,Married,Less than $40K,55,1677.0,0
F,Married,Unknown,40,2392.0,1129
F,Married,Less than $40K,52,3474.0,0
M,Married,$60K - $80K,48,8737.0,1629
F,Single,Unknown,44,3517.0,0
F,Single,Unknown,60,13397.0,0
F,Single,Less than $40K,65,6352.0,1386
F,Single,Less than $40K,46,1787.0,1324
M,Single,$60K - $80K,62,18734.0,0
F,Married,Less than $40K,47,1438.3,0
M,Divorced,$40K - $60K,50,3525.0,0
M,Unknown,$60K - $80K,43,2067.0,1250
F,Married,Less than $40K,45,2051.0,0
M,Single,$120K +,46,27378.0,1893
F,Married,Less than $40K,38,1614.0,0
M,Single,Less than $40K,49,7862.0,1991
M,Married,$60K - $80K,47,4284.0,1900
F,Married,Less than $40K,47,1438.3,0
F,Divorced,Less than $40K,55,1438.3,680
M,Single,$60K - $80K,62,21805.0,1777
M,Single,$60K - $80K,55,4712.0,1920
M,Married,$60K - $80K,33,1698.0,0
F,Single,$40K - $60K,41,2264.0,928
F,Married,Less than $40K,54,2720.0,1694
M,Unknown,$120K +,55,15631.0,1305
F,Single,$40K - $60K,43,2594.0,1686
M,Married,$80K - $120K,52,15011.0,2517
F,Single,Less than $40K,47,1548.0,0
F,Single,Less than $40K,52,2700.0,1623
F,Married,$40K - $60K,45,2919.0,1670
F,Single,Unknown,50,10721.0,0
M,Single,$40K - $60K,44,6125.0,1329
F,Married,Less than $40K,42,3200.0,1733
F,Divorced,Unknown,53,12286.0,997
M,Married,$80K - $120K,51,21543.0,0
M,Married,$120K +,52,6355.0,0
F,Married,Less than $40K,52,5616.0,2410
F,Married,$40K - $60K,50,2661.0,1575
M,Married,$60K - $80K,38,2836.0,862
F,Married,$40K - $60K,50,1438.3,0
F,Single,Unknown,51,2109.0,683
M,Single,$60K - $80K,48,14951.0,1413
M,Married,$60K - $80K,47,1591.0,894
F,Divorced,Unknown,51,8930.0,2517
F,Single,Unknown,36,4685.0,1626
F,Married,Unknown,45,2555.0,681
F,Single,Less than $40K,53,2172.0,644
F,Married,Unknown,54,2912.0,0
F,Married,Less than $40K,53,3390.0,2180
F,Single,Less than $40K,47,2193.0,1084
F,Married,Unknown,51,17412.0,730
F,Single,Less than $40K,40,2801.0,1731
M,Single,$60K - $80K,43,11186.0,2231
F,Single,Less than $40K,50,2434.0,1340
F,Single,Unknown,53,1790.0,1474
F,Single,Less than $40K,59,2716.0,1740
F,Single,Unknown,49,2874.0,0
F,Married,$40K - $60K,47,1438.3,0
M,Single,$60K - $80K,56,18776.0,0
F,Married,Unknown,48,1438.3,1197
M,Divorced,$80K - $120K,55,19793.0,2488
F,Single,$40K - $60K,34,2472.0,1899
F,Married,Unknown,58,12362.0,0
F,Married,$40K - $60K,39,1438.3,722
F,Married,Less than $40K,47,3189.0,1863
F,Single,Less than $40K,47,2092.0,1575
F,Married,$40K - $60K,37,2946.0,2517
F,Unknown,$40K - $60K,41,2430.0,0
F,Married,Less than $40K,50,4143.0,1888
F,Unknown,Unknown,46,2197.0,461
F,Single,Unknown,53,9314.0,1761
F,Married,Less than $40K,53,3719.0,2517
F,Married,Unknown,59,6996.0,0
M,Single,Unknown,63,7306.0,0
F,Divorced,Less than $40K,41,2029.0,621
F,Married,Less than $40K,51,13199.0,781
F,Married,Less than $40K,38,3304.0,1338
F,Married,Less than $40K,40,3125.0,2041
F,Single,Less than $40K,51,1438.3,1153
M,Single,$80K - $120K,41,2491.0,1979
F,Single,Less than $40K,58,1977.0,0
F,Single,Less than $40K,33,1806.0,0
F,Single,Less than $40K,38,1938.0,1175
F,Married,Less than $40K,42,3188.0,2002
F,Single,Less than $40K,44,2288.0,1505
F,Unknown,Less than $40K,44,1780.0,1338
F,Married,Unknown,47,2373.0,1480
M,Married,$80K - $120K,41,23250.0,0
M,Single,$120K +,47,34516.0,0
M,Married,$80K - $120K,48,12882.0,1402
M,Married,$60K - $80K,54,6348.0,798
F,Unknown,Less than $40K,59,2621.0,2486
F,Unknown,$40K - $60K,33,1843.0,1293
F,Single,Less than $40K,44,3228.0,0
F,Single,$40K - $60K,43,2303.0,722
M,Single,$80K - $120K,42,29195.0,892
F,Married,$40K - $60K,41,2990.0,1828
F,Single,$40K - $60K,55,2873.0,2455
M,Married,$80K - $120K,50,28253.0,0
F,Married,Unknown,53,1882.0,0
M,Married,$80K - $120K,33,1630.0,0
M,Single,$80K - $120K,51,4546.0,0
F,Single,Unknown,58,2395.0,1345
M,Unknown,$80K - $120K,45,3845.0,0
F,Single,Less than $40K,56,2836.0,1362
F,Single,Less than $40K,44,1506.0,168
F,Single,Less than $40K,48,1605.0,1300
M,Single,$80K - $120K,53,11778.0,0
F,Married,Less than $40K,55,2747.0,0
M,Married,$60K - $80K,49,2501.0,0
M,Single,Less than $40K,64,2563.0,2242
M,Single,$60K - $80K,47,1659.0,1544
F,Married,Unknown,56,3068.0,1765
F,Divorced,Less than $40K,60,3426.0,1650
F,Single,Less than $40K,59,3214.0,424
M,Married,$80K - $120K,50,12906.0,321
F,Single,Unknown,59,8708.0,1091
M,Married,$80K - $120K,52,7904.0,0
F,Divorced,Unknown,48,4549.0,1313
F,Married,Less than $40K,46,1438.3,1214
F,Married,Less than $40K,49,4476.0,1492
F,Divorced,Unknown,44,2002.0,1448
M,Married,$80K - $120K,40,11502.0,2066
M,Married,$120K +,44,7924.0,2517
M,Single,$120K +,39,16199.0,0
M,Divorced,$80K - $120K,43,1452.0,0
F,Single,Unknown,37,2179.0,0
M,Married,$80K - $120K,35,13590.0,1528
F,Single,Less than $40K,31,1695.0,0
F,Married,Less than $40K,53,4430.0,1579
F,Married,Less than $40K,49,2919.0,2032
F,Married,Less than $40K,49,2796.0,1035
F,Married,Less than $40K,41,2580.0,2137
M,Single,$60K - $80K,43,2834.0,1720
F,Divorced,Less than $40K,44,2617.0,1508
F,Single,Less than $40K,48,1522.0,1273
M,Unknown,$40K - $60K,41,16509.0,425
M,Unknown,$40K - $60K,40,7316.0,1335
F,Single,Unknown,44,7627.0,1742
M,Married,$40K - $60K,44,9465.0,0
M,Married,Less than $40K,48,8795.0,1318
M,Single,$60K - $80K,40,12283.0,0
F,Single,Less than $40K,34,2715.0,1503
F,Married,Unknown,44,19897.0,2232
F,Single,Less than $40K,44,2097.0,1224
F,Single,Less than $40K,41,3028.0,2270
F,Single,Less than $40K,34,1695.0,761
F,Married,Less than $40K,41,1438.3,0
F,Single,Less than $40K,37,1438.3,599
M,Divorced,$120K +,55,24250.0,278
F,Single,Unknown,49,5076.0,871
F,Single,Unknown,40,4438.0,1513
F,Single,Less than $40K,36,1964.0,0
F,Single,Less than $40K,53,1904.0,886
